Country,Cases,Deaths,Region
China,"44,686","1,116",Asia
Japan,203,0,Asia
Hong Kong,50,1,Asia
Singapore,50,0,Asia
Thailand,33,0,Asia
South Korea,28,0,Asia
Malaysia,18,0,Asia
Taiwan,18,0,Asia
Germany,16,0,Europe
Vietnam,15,0,Asia
Australia,15,0,Australia/Oceania
United States,13,0,North America
France,11,0,Europe
Macao,10,0,Asia
United Arab Emirates,8,0,Asia
United Kingdom,8,0,Europe
Canada,7,0,North America
Philippines,3,1,Asia
Italy,3,0,Europe
India,3,0,Asia
Russia,2,0,Europe
Spain,2,0,Europe
Nepal,1,0,Asia
Finland,1,0,Europe
Sweden,1,0,Europe
Sri Lanka,1,0,Asia
Cambodia,1,0,Asia
Belgium,1,0,Europe
