Date,Total,Change,Change in
2/13/2020,"64,437","5,154",9%
2/12/2020,"59,283","14,113",31%
2/11/2020,"45,170","2,071",5%
2/10/2020,"43,099","2,546",6%
2/9/2020,"40,553","3,001",8%
2/8/2020,"37,552","2,676",8%
2/7/2020,"34,876","3,437",11%
2/6/2020,"31,439","3,163",11%
2/5/2020,"28,276","3,723",15%
2/4/2020,"24,553","3,927",19%
2/3/2020,"20,626","3,239",19%
2/2/2020,"17,387","2,836",19%
2/1/2020,"14,551","2,603",22%
1/31/2020,"11,948","2,127",22%
1/30/2020,"9,821","2,005",26%
1/29/2020,"7,816","1,755",29%
1/28/2020,"6,061","1,482",32%
1/27/2020,"4,579","1,778",63%
1/26/2020,"2,801",786,39%
1/25/2020,"2,015",703,54%
1/24/2020,"1,312",468,55%
1/23/2020,844,265,46%
